Name,IP,Port,DeviceID,RegisterType,StartAddress,Timeout
低压电源总开关,10.70.50.102,8899,25,Holding,1,1
备用电源8,10.70.50.102,8899,26,Holding,1,1
1AP2照明2,10.70.50.102,8899,27,Holding,1,1
备用电源9,10.70.50.102,8899,28,Holding,1,1
备用电源,10.70.50.102,8899,29,Holding,1,1
直流屏电源2,10.70.50.102,8899,30,Holding,1,1
9#-侧板1,10.70.50.102,8899,31,Holding,1,1
备用电源10,10.70.50.102,8899,32,Holding,1,1
备用电源11,10.70.50.102,8899,33,Holding,1,1
后勤设施,10.70.50.102,8899,34,Holding,1,1
保护气电源,10.70.50.102,8899,35,Holding,1,1
备用电源12,10.70.50.103,8899,36,Holding,1,1
10#-侧板2,10.70.50.103,8899,37,Holding,1,1
空压机1,10.70.50.103,8899,38,Holding,1,1
空压机3,10.70.50.103,8899,39,Holding,1,1
备用电源,10.70.50.103,8899,40,Holding,1,1
11#-2AP/焊烟3,10.70.50.103,8899,41,Holding,1,1
12#-总装1,10.70.50.103,8899,42,Holding,1,1
13#-总装2,10.70.50.103,8899,43,Holding,1,1
14#-总装3,10.70.50.103,8899,44,Holding,1,1
备用电源13,10.70.50.103,8899,45,Holding,1,1
15#-打砂房1,10.70.50.103,8899,46,Holding,1,1
备用电源,10.70.50.103,8899,47,Holding,1,1
